timestamp,product_id,category,base_price,inventory_level,demand_last_24h,competitor_price,season,day_of_week,time_of_day,special_event,customer_segment,rating,historical_sales,final_price
2025-03-03 00:49:22.976396108,PROD_0088,Books,167.69,97,72,145.94,Fall,Monday,0,0,Premium,2.0,556,213.45
2025-03-03 01:32:37.570990702,PROD_0030,Sports,608.9,138,45,632.56,Summer,Monday,1,0,Regular,4.7,912,703.66
2025-03-03 02:15:52.165585297,PROD_0038,Home,324.93,178,31,315.08,Fall,Monday,2,0,Budget,2.3,463,293.93
2025-03-03 02:59:06.760179891,PROD_0002,Electronics,867.77,16,31,849.27,Summer,Monday,2,0,Premium,4.8,674,1083.4
2025-03-03 03:42:21.354774486,PROD_0064,Home,993.4,98,5,895.71,Winter,Monday,3,1,Regular,3.1,449,1199.16
2025-03-03 04:25:35.949369081,PROD_0060,Home,754.9,81,47,853.08,Summer,Monday,4,0,Premium,3.5,330,1033.87
2025-03-03 05:08:50.543963675,PROD_0021,Books,99.58,103,37,98.99,Summer,Monday,5,0,Premium,3.2,252,120.39
2025-03-03 05:52:05.138558270,PROD_0033,Sports,295.8,151,16,300.93,Summer,Monday,5,0,Premium,1.5,680,374.71
2025-03-03 06:35:19.733152864,PROD_0076,Clothing,118.02,18,73,108.8,Spring,Monday,6,1,Premium,2.5,962,177.03
2025-03-03 07:18:34.327747459,PROD_0058,Sports,654.01,164,26,570.77,Summer,Monday,7,0,Premium,1.4,284,755.73
2025-03-03 08:01:48.922342054,PROD_0022,Sports,767.54,84,53,640.41,Winter,Monday,8,0,Premium,3.5,273,957.7
2025-03-03 08:45:03.516936648,PROD_0089,Home,926.42,7,49,1005.76,Winter,Monday,8,0,Regular,2.8,19,1145.0
2025-03-03 09:28:18.111531243,PROD_0049,Sports,443.79,27,34,389.87,Winter,Monday,9,0,Premium,4.1,238,553.65
2025-03-03 10:11:32.706125837,PROD_0091,Electronics,902.36,4,84,970.97,Summer,Monday,10,0,Budget,1.9,269,1054.27
2025-03-03 10:54:47.300720432,PROD_0059,Home,879.11,144,24,840.56,Fall,Monday,10,0,Regular,1.7,417,889.45
2025-03-03 11:38:01.895315027,PROD_0042,Electronics,324.02,100,27,313.11,Fall,Monday,11,1,Budget,2.6,944,363.21
2025-03-03 12:21:16.489909621,PROD_0092,Clothing,870.21,163,14,859.48,Winter,Monday,12,0,Premium,4.7,309,988.63
2025-03-03 13:04:31.084504216,PROD_0060,Home,381.92,117,3,361.71,Spring,Monday,13,0,Budget,3.8,30,341.62
2025-03-03 13:47:45.679098810,PROD_0080,Clothing,303.9,146,92,255.35,Fall,Monday,13,0,Premium,2.7,825,388.03
2025-03-03 14:31:00.273693405,PROD_0015,Home,652.58,63,72,602.89,Summer,Monday,14,0,Premium,3.1,103,844.06
2025-03-03 15:14:14.868288000,PROD_0062,Books,335.1,90,26,357.04,Fall,Monday,15,0,Regular,1.3,681,385.68
2025-03-03 15:57:29.462882594,PROD_0062,Sports,633.91,116,25,675.94,Winter,Monday,15,0,Regular,4.9,185,719.57
2025-03-03 16:40:44.057477189,PROD_0047,Books,613.73,97,18,561.25,Spring,Monday,16,0,Premium,3.7,127,724.07
2025-03-03 17:23:58.652071783,PROD_0062,Clothing,567.8,10,91,558.74,Fall,Monday,17,0,Regular,2.1,209,671.28
2025-03-03 18:07:13.246666378,PROD_0051,Sports,386.62,53,16,339.21,Fall,Monday,18,0,Budget,3.3,413,363.37
2025-03-03 18:50:27.841260972,PROD_0055,Home,553.01,172,42,488.95,Winter,Monday,18,0,Regular,1.4,280,566.28
2025-03-03 19:33:42.435855567,PROD_0064,Sports,600.52,46,40,485.95,Spring,Monday,19,0,Regular,4.9,958,651.29
2025-03-03 20:16:57.030450162,PROD_0003,Electronics,550.23,139,41,637.55,Spring,Monday,20,0,Budget,1.7,252,568.78
2025-03-03 21:00:11.625044756,PROD_0051,Sports,449.98,148,49,397.91,Winter,Monday,21,1,Regular,3.6,18,564.99
2025-03-03 21:43:26.219639351,PROD_0007,Electronics,24.52,138,83,21.85,Summer,Monday,21,0,Premium,2.0,711,31.06
2025-03-03 22:26:40.814233945,PROD_0021,Sports,591.19,4,39,539.07,Fall,Monday,22,1,Budget,3.9,731,704.97
2025-03-03 23:09:55.408828540,PROD_0073,Electronics,176.76,183,38,150.42,Summer,Monday,23,0,Premium,4.1,135,205.85
2025-03-03 23:53:10.003423135,PROD_0039,Clothing,646.15,19,22,682.14,Fall,Monday,23,0,Budget,3.7,222,687.85
2025-03-04 00:36:24.598017729,PROD_0018,Books,761.75,168,95,632.3,Fall,Tuesday,0,0,Premium,3.5,2,966.02
2025-03-04 01:19:39.192612324,PROD_0004,Home,505.44,45,51,431.49,Summer,Tuesday,1,0,Premium,4.6,962,640.51
2025-03-04 02:02:53.787206918,PROD_0089,Sports,546.94,11,46,578.61,Winter,Tuesday,2,0,Regular,1.3,235,671.93
2025-03-04 02:46:08.381801513,PROD_0060,Books,951.96,69,62,890.91,Winter,Tuesday,2,0,Premium,2.3,853,1211.2
2025-03-04 03:29:22.976396108,PROD_0014,Home,848.7,16,96,919.29,Fall,Tuesday,3,0,Regular,2.0,464,1113.24
2025-03-04 04:12:37.570990702,PROD_0009,Home,915.09,114,68,936.11,Winter,Tuesday,4,0,Budget,5.0,227,993.95
2025-03-04 04:55:52.165585297,PROD_0090,Electronics,815.63,146,42,736.03,Fall,Tuesday,4,0,Premium,2.6,912,972.79
2025-03-04 05:39:06.760179891,PROD_0053,Clothing,117.83,153,47,124.94,Winter,Tuesday,5,0,Premium,3.9,653,155.89
2025-03-04 06:22:21.354774486,PROD_0002,Clothing,157.5,47,33,133.33,Fall,Tuesday,6,0,Budget,3.7,498,152.14
2025-03-04 07:05:35.949369081,PROD_0084,Books,531.36,107,39,539.1,Winter,Tuesday,7,0,Budget,1.8,520,556.22
2025-03-04 07:48:50.543963675,PROD_0092,Clothing,253.61,51,74,247.23,Spring,Tuesday,7,0,Premium,2.0,701,330.76
2025-03-04 08:32:05.138558270,PROD_0060,Sports,481.93,95,60,437.18,Summer,Tuesday,8,0,Budget,2.1,861,472.71
2025-03-04 09:15:19.733152864,PROD_0071,Clothing,400.42,69,49,417.08,Spring,Tuesday,9,0,Regular,2.6,916,480.91
2025-03-04 09:58:34.327747459,PROD_0044,Books,553.92,182,66,636.2,Summer,Tuesday,9,0,Budget,1.9,971,580.45
2025-03-04 10:41:48.922342054,PROD_0008,Clothing,749.41,101,61,898.96,Summer,Tuesday,10,0,Budget,1.1,676,811.25
2025-03-04 11:25:03.516936648,PROD_0047,Sports,718.34,74,57,749.3,Fall,Tuesday,11,0,Premium,4.5,991,1000.87
2025-03-04 12:08:18.111531243,PROD_0035,Electronics,526.02,160,32,505.97,Summer,Tuesday,12,0,Regular,4.9,138,534.18
2025-03-04 12:51:32.706125837,PROD_0078,Books,824.17,189,74,733.58,Spring,Tuesday,12,0,Budget,2.4,275,787.19
2025-03-04 13:34:47.300720432,PROD_0081,Electronics,436.55,150,15,394.14,Spring,Tuesday,13,0,Regular,2.4,290,434.66
2025-03-04 14:18:01.895315027,PROD_0036,Electronics,897.75,142,81,890.37,Winter,Tuesday,14,1,Regular,1.0,52,1181.06
2025-03-04 15:01:16.489909621,PROD_0050,Electronics,80.57,154,93,76.29,Spring,Tuesday,15,0,Regular,3.7,686,89.22
2025-03-04 15:44:31.084504216,PROD_0004,Home,955.11,191,47,1113.21,Winter,Tuesday,15,0,Premium,4.3,109,1240.16
2025-03-04 16:27:45.679098810,PROD_0002,Home,658.15,178,9,623.47,Summer,Tuesday,16,0,Budget,1.6,714,576.59
2025-03-04 17:11:00.273693405,PROD_0006,Electronics,386.27,180,81,366.72,Spring,Tuesday,17,0,Premium,1.6,947,478.01
2025-03-04 17:54:14.868288000,PROD_0054,Books,205.18,81,37,195.62,Summer,Tuesday,17,0,Budget,4.2,647,196.19
2025-03-04 18:37:29.462882594,PROD_0004,Sports,484.39,91,18,549.61,Spring,Tuesday,18,0,Budget,3.5,3,495.73
2025-03-04 19:20:44.057477189,PROD_0054,Sports,202.61,178,35,214.83,Spring,Tuesday,19,0,Premium,1.2,666,260.33
2025-03-04 20:03:58.652071783,PROD_0093,Clothing,174.67,174,58,182.64,Winter,Tuesday,20,1,Regular,3.5,683,242.34
2025-03-04 20:47:13.246666378,PROD_0063,Books,621.18,3,62,579.97,Summer,Tuesday,20,0,Regular,2.2,935,708.53
2025-03-04 21:30:27.841260972,PROD_0018,Home,527.85,134,76,594.98,Spring,Tuesday,21,0,Budget,2.5,869,574.03
2025-03-04 22:13:42.435855567,PROD_0090,Electronics,673.4,108,45,549.05,Fall,Tuesday,22,0,Premium,4.1,46,821.47
2025-03-04 22:56:57.030450162,PROD_0044,Clothing,930.31,162,2,1068.29,Summer,Tuesday,22,0,Regular,4.2,93,998.37
2025-03-04 23:40:11.625044756,PROD_0034,Sports,536.94,47,73,539.68,Summer,Tuesday,23,0,Regular,2.6,939,673.37
2025-03-05 00:23:26.219639351,PROD_0074,Home,585.12,72,64,561.31,Summer,Wednesday,0,0,Budget,4.8,559,583.4
2025-03-05 01:06:40.814233945,PROD_0062,Home,98.73,71,90,98.62,Winter,Wednesday,1,0,Budget,2.6,751,101.99
2025-03-05 01:49:55.408828540,PROD_0100,Electronics,720.46,115,7,768.71,Fall,Wednesday,1,0,Premium,4.1,858,916.45
2025-03-05 02:33:10.003423135,PROD_0014,Sports,405.91,172,50,326.8,Summer,Wednesday,2,0,Budget,2.9,212,378.3
2025-03-05 03:16:24.598017729,PROD_0095,Books,976.96,80,80,1122.15,Spring,Wednesday,3,1,Regular,4.6,435,1461.4
2025-03-05 03:59:39.192612324,PROD_0048,Home,824.94,80,72,807.37,Spring,Wednesday,3,0,Regular,4.6,851,920.43
2025-03-05 04:42:53.787206918,PROD_0015,Electronics,527.26,112,5,494.14,Winter,Wednesday,4,0,Regular,1.3,507,526.85
2025-03-05 05:26:08.381801513,PROD_0072,Books,131.99,95,88,112.89,Spring,Wednesday,5,1,Regular,4.7,835,179.27
2025-03-05 06:09:22.976396108,PROD_0078,Sports,860.82,71,38,839.98,Summer,Wednesday,6,0,Premium,4.3,650,1058.17
2025-03-05 06:52:37.570990702,PROD_0087,Home,801.78,146,59,800.6,Spring,Wednesday,6,0,Premium,4.2,204,979.21
2025-03-05 07:35:52.165585297,PROD_0062,Books,192.74,62,27,185.31,Summer,Wednesday,7,0,Budget,1.8,380,183.3
2025-03-05 08:19:06.760179891,PROD_0040,Books,302.33,37,96,323.93,Spring,Wednesday,8,0,Budget,4.2,72,353.48
2025-03-05 09:02:21.354774486,PROD_0085,Books,795.47,66,53,770.3,Fall,Wednesday,9,0,Budget,4.4,515,783.39
2025-03-05 09:45:35.949369081,PROD_0080,Home,193.38,186,36,229.07,Winter,Wednesday,9,0,Premium,2.2,75,247.83
2025-03-05 10:28:50.543963675,PROD_0082,Home,918.57,68,8,955.05,Winter,Wednesday,10,1,Regular,4.8,840,1248.6
2025-03-05 11:12:05.138558270,PROD_0053,Clothing,430.28,12,81,483.2,Fall,Wednesday,11,0,Budget,1.2,76,498.89
2025-03-05 11:55:19.733152864,PROD_0024,Sports,96.17,174,55,81.14,Fall,Wednesday,11,0,Regular,1.6,815,100.18
2025-03-05 12:38:34.327747459,PROD_0026,Electronics,817.59,188,58,784.0,Winter,Wednesday,12,0,Budget,3.2,767,764.42
2025-03-05 13:21:48.922342054,PROD_0089,Books,379.77,30,84,354.99,Fall,Wednesday,13,1,Budget,3.3,409,476.04
2025-03-05 14:05:03.516936648,PROD_0060,Clothing,531.23,113,1,546.0,Summer,Wednesday,14,0,Budget,3.6,613,524.64
2025-03-05 14:48:18.111531243,PROD_0041,Electronics,121.18,21,60,138.69,Spring,Wednesday,14,1,Budget,1.1,105,163.19
2025-03-05 15:31:32.706125837,PROD_0029,Clothing,12.56,92,57,10.44,Winter,Wednesday,15,0,Budget,4.8,844,12.28
2025-03-05 16:14:47.300720432,PROD_0015,Home,641.61,170,59,531.91,Fall,Wednesday,16,0,Regular,1.2,550,673.42
2025-03-05 16:58:01.895315027,PROD_0045,Books,520.02,66,39,592.89,Summer,Wednesday,16,0,Budget,1.6,475,555.02
2025-03-05 17:41:16.489909621,PROD_0065,Electronics,597.6,53,35,528.96,Winter,Wednesday,17,0,Regular,1.1,825,641.45
2025-03-05 18:24:31.084504216,PROD_0089,Electronics,795.81,137,36,849.52,Fall,Wednesday,18,0,Premium,3.3,274,1044.73
2025-03-05 19:07:45.679098810,PROD_0071,Electronics,650.14,41,78,661.29,Winter,Wednesday,19,0,Budget,4.7,87,740.82
2025-03-05 19:51:00.273693405,PROD_0009,Electronics,183.03,63,91,207.4,Fall,Wednesday,19,0,Regular,3.7,722,233.37
2025-03-05 20:34:14.868288000,PROD_0088,Electronics,367.16,125,17,312.1,Winter,Wednesday,20,0,Premium,4.3,880,426.78
2025-03-05 21:17:29.462882594,PROD_0001,Clothing,906.83,20,97,772.54,Summer,Wednesday,21,0,Premium,1.1,76,1237.0
2025-03-05 22:00:44.057477189,PROD_0008,Books,772.25,193,62,789.8,Summer,Wednesday,22,1,Premium,3.2,76,1158.37
2025-03-05 22:43:58.652071783,PROD_0088,Home,561.07,168,21,661.25,Spring,Wednesday,22,0,Regular,2.8,441,617.4
2025-03-05 23:27:13.246666378,PROD_0063,Home,263.09,151,10,254.14,Winter,Wednesday,23,0,Budget,3.0,539,233.91
2025-03-06 00:10:27.841260973,PROD_0011,Home,309.04,34,57,287.65,Spring,Thursday,0,0,Budget,1.3,244,310.63
2025-03-06 00:53:42.435855567,PROD_0081,Home,734.64,183,56,765.99,Winter,Thursday,0,0,Regular,3.7,577,843.27
2025-03-06 01:36:57.030450162,PROD_0008,Clothing,852.66,29,76,999.47,Fall,Thursday,1,0,Budget,3.0,777,974.37
2025-03-06 02:20:11.625044756,PROD_0035,Sports,674.71,56,3,765.64,Fall,Thursday,2,0,Regular,4.1,381,762.87
2025-03-06 03:03:26.219639351,PROD_0035,Books,811.43,46,85,972.26,Spring,Thursday,3,0,Budget,2.9,981,931.15
2025-03-06 03:46:40.814233945,PROD_0033,Electronics,768.99,162,6,622.13,Winter,Thursday,3,0,Premium,1.6,716,863.79
2025-03-06 04:29:55.408828540,PROD_0005,Sports,158.21,18,60,133.71,Spring,Thursday,4,0,Budget,3.6,569,160.86
2025-03-06 05:13:10.003423135,PROD_0041,Home,429.71,113,53,448.52,Summer,Thursday,5,0,Regular,1.7,712,508.25
2025-03-06 05:56:24.598017729,PROD_0028,Sports,161.45,7,87,182.16,Spring,Thursday,5,0,Regular,4.5,736,210.14
2025-03-06 06:39:39.192612324,PROD_0007,Books,242.88,25,67,222.02,Spring,Thursday,6,0,Premium,3.5,141,317.57
2025-03-06 07:22:53.787206918,PROD_0073,Electronics,870.57,112,91,779.75,Fall,Thursday,7,0,Regular,1.6,892,981.29
2025-03-06 08:06:08.381801513,PROD_0072,Electronics,478.16,70,78,533.05,Spring,Thursday,8,0,Budget,4.8,367,537.54
2025-03-06 08:49:22.976396108,PROD_0012,Books,540.0,29,0,444.18,Winter,Thursday,8,0,Budget,3.1,83,501.18
2025-03-06 09:32:37.570990702,PROD_0034,Books,186.66,134,54,176.91,Fall,Thursday,9,1,Premium,1.3,142,273.26
2025-03-06 10:15:52.165585297,PROD_0033,Home,319.15,66,2,319.89,Spring,Thursday,10,0,Regular,3.5,351,358.63
2025-03-06 10:59:06.760179891,PROD_0048,Electronics,237.94,64,77,243.69,Summer,Thursday,10,0,Premium,2.0,544,342.3
2025-03-06 11:42:21.354774486,PROD_0023,Sports,214.12,35,37,233.71,Spring,Thursday,11,0,Budget,4.2,912,231.2
2025-03-06 12:25:35.949369081,PROD_0062,Clothing,641.58,24,0,604.33,Spring,Thursday,12,0,Premium,4.3,151,762.61
2025-03-06 13:08:50.543963675,PROD_0088,Clothing,264.32,36,37,276.23,Spring,Thursday,13,0,Regular,4.9,157,316.95
2025-03-06 13:52:05.138558270,PROD_0037,Books,635.7,0,84,657.4,Fall,Thursday,13,0,Premium,3.0,445,950.75
2025-03-06 14:35:19.733152864,PROD_0099,Home,67.87,142,28,69.16,Winter,Thursday,14,0,Regular,2.8,652,76.41
2025-03-06 15:18:34.327747459,PROD_0044,Clothing,150.36,36,4,158.81,Summer,Thursday,15,0,Regular,4.0,957,171.85
2025-03-06 16:01:48.922342054,PROD_0086,Electronics,281.79,140,73,254.68,Spring,Thursday,16,0,Budget,1.5,762,275.34
2025-03-06 16:45:03.516936648,PROD_0091,Books,601.08,135,91,501.21,Winter,Thursday,16,0,Budget,3.2,302,603.05
2025-03-06 17:28:18.111531243,PROD_0035,Sports,679.08,132,20,575.66,Winter,Thursday,17,0,Budget,3.2,623,618.37
2025-03-06 18:11:32.706125837,PROD_0065,Books,448.29,187,70,398.9,Fall,Thursday,18,0,Regular,1.4,655,473.65
2025-03-06 18:54:47.300720432,PROD_0099,Sports,451.33,127,66,451.37,Summer,Thursday,18,0,Premium,2.7,449,620.8
2025-03-06 19:38:01.895315027,PROD_0047,Books,727.27,126,46,826.31,Fall,Thursday,19,0,Regular,4.4,720,846.53
2025-03-06 20:21:16.489909621,PROD_0078,Books,25.66,0,83,27.73,Winter,Thursday,20,0,Budget,4.4,223,30.0
2025-03-06 21:04:31.084504216,PROD_0003,Books,347.68,163,82,387.88,Winter,Thursday,21,0,Budget,1.4,42,375.8
2025-03-06 21:47:45.679098810,PROD_0001,Sports,820.52,34,34,771.61,Winter,Thursday,21,0,Premium,1.4,263,1020.33
2025-03-06 22:31:00.273693405,PROD_0005,Sports,607.19,193,67,584.03,Fall,Thursday,22,0,Budget,2.1,755,573.32
2025-03-06 23:14:14.868288000,PROD_0090,Books,343.85,190,68,329.23,Summer,Thursday,23,0,Budget,4.5,2,325.6
2025-03-06 23:57:29.462882594,PROD_0014,Clothing,906.47,103,0,794.75,Spring,Thursday,23,0,Budget,1.5,636,812.62
2025-03-07 00:40:44.057477189,PROD_0027,Home,774.9,22,67,638.89,Fall,Friday,0,0,Premium,3.9,267,1014.57
2025-03-07 01:23:58.652071783,PROD_0009,Home,272.25,8,11,282.15,Winter,Friday,1,0,Regular,1.4,595,318.47
2025-03-07 02:07:13.246666378,PROD_0079,Home,648.84,33,59,775.81,Fall,Friday,2,0,Budget,3.5,15,723.14
2025-03-07 02:50:27.841260973,PROD_0015,Sports,599.79,173,26,519.86,Winter,Friday,2,0,Premium,2.4,333,690.02
2025-03-07 03:33:42.435855567,PROD_0090,Sports,407.18,127,55,333.34,Spring,Friday,3,0,Budget,4.2,463,390.61
2025-03-07 04:16:57.030450162,PROD_0042,Clothing,373.29,3,22,415.02,Spring,Friday,4,0,Premium,1.9,58,511.48
2025-03-07 05:00:11.625044756,PROD_0077,Home,350.12,157,24,315.47,Summer,Friday,5,0,Budget,3.6,176,316.8
2025-03-07 05:43:26.219639351,PROD_0051,Home,620.98,101,20,702.87,Winter,Friday,5,0,Premium,1.9,62,810.56
2025-03-07 06:26:40.814233945,PROD_0063,Books,447.99,74,60,484.53,Summer,Friday,6,0,Budget,3.9,957,490.52
2025-03-07 07:09:55.408828540,PROD_0096,Sports,833.54,98,62,982.14,Summer,Friday,7,0,Regular,4.5,560,1005.4
2025-03-07 07:53:10.003423135,PROD_0052,Home,672.91,71,51,648.39,Spring,Friday,7,0,Budget,1.5,306,659.3
2025-03-07 08:36:24.598017729,PROD_0096,Clothing,79.23,2,87,84.37,Fall,Friday,8,0,Premium,4.5,245,118.85
2025-03-07 09:19:39.192612324,PROD_0004,Clothing,643.77,141,24,634.72,Fall,Friday,9,1,Budget,3.4,288,704.47
2025-03-07 10:02:53.787206918,PROD_0094,Home,278.44,187,54,292.98,Summer,Friday,10,0,Regular,1.5,797,318.09
2025-03-07 10:46:08.381801513,PROD_0023,Sports,596.88,172,45,584.85,Spring,Friday,10,0,Budget,2.7,954,552.41
2025-03-07 11:29:22.976396108,PROD_0015,Clothing,683.33,33,31,598.22,Winter,Friday,11,0,Premium,1.6,331,846.49
2025-03-07 12:12:37.570990702,PROD_0043,Books,238.52,44,54,239.27,Fall,Friday,12,0,Premium,3.8,526,335.63
2025-03-07 12:55:52.165585297,PROD_0029,Clothing,462.29,60,95,467.58,Summer,Friday,12,0,Regular,4.0,849,593.39
2025-03-07 13:39:06.760179891,PROD_0036,Electronics,198.42,82,4,223.07,Fall,Friday,13,0,Premium,1.4,254,255.25
2025-03-07 14:22:21.354774486,PROD_0013,Electronics,61.82,122,35,67.64,Fall,Friday,14,0,Budget,3.0,603,63.88
2025-03-07 15:05:35.949369081,PROD_0032,Sports,384.69,101,48,409.9,Winter,Friday,15,1,Budget,4.3,509,490.8
2025-03-07 15:48:50.543963675,PROD_0071,Home,369.31,15,57,312.2,Spring,Friday,15,0,Budget,4.7,790,374.47
2025-03-07 16:32:05.138558270,PROD_0059,Sports,995.53,65,38,1083.38,Winter,Friday,16,0,Premium,3.1,717,1356.38
2025-03-07 17:15:19.733152864,PROD_0086,Sports,451.89,167,79,451.94,Spring,Friday,17,0,Budget,4.8,605,485.52
2025-03-07 17:58:34.327747459,PROD_0028,Sports,340.23,144,96,393.87,Fall,Friday,17,0,Budget,3.1,736,378.12
2025-03-07 18:41:48.922342054,PROD_0066,Sports,584.67,118,84,682.86,Summer,Friday,18,0,Budget,2.6,812,647.64
2025-03-07 19:25:03.516936648,PROD_0042,Books,97.88,161,60,80.46,Winter,Friday,19,0,Regular,4.4,829,103.33
2025-03-07 20:08:18.111531243,PROD_0045,Books,962.05,123,8,1085.44,Spring,Friday,20,0,Premium,3.0,462,1220.88
2025-03-07 20:51:32.706125837,PROD_0062,Clothing,638.61,143,5,520.52,Fall,Friday,20,0,Premium,2.9,198,722.95
2025-03-07 21:34:47.300720432,PROD_0057,Electronics,757.29,101,34,717.05,Spring,Friday,21,0,Premium,3.0,270,912.57
2025-03-07 22:18:01.895315027,PROD_0006,Sports,178.77,187,38,181.8,Spring,Friday,22,1,Regular,4.4,745,239.64
2025-03-07 23:01:16.489909621,PROD_0028,Clothing,415.38,65,21,356.91,Spring,Friday,23,0,Premium,4.3,557,499.7
2025-03-07 23:44:31.084504216,PROD_0028,Electronics,428.46,193,40,470.68,Fall,Friday,23,1,Regular,2.6,63,574.26
2025-03-08 00:27:45.679098810,PROD_0044,Home,823.59,12,4,661.62,Summer,Saturday,0,0,Regular,2.3,229,861.09
2025-03-08 01:11:00.273693405,PROD_0084,Books,11.22,183,41,9.74,Summer,Saturday,1,0,Premium,3.0,941,13.13
2025-03-08 01:54:14.868288000,PROD_0030,Electronics,307.84,110,86,317.79,Summer,Saturday,1,0,Budget,3.3,951,343.22
2025-03-08 02:37:29.462882594,PROD_0062,Home,981.42,158,80,1065.59,Spring,Saturday,2,0,Budget,2.0,248,1060.55
2025-03-08 03:20:44.057477189,PROD_0075,Electronics,480.14,33,75,560.16,Fall,Saturday,3,0,Premium,4.2,245,698.85
2025-03-08 04:03:58.652071783,PROD_0092,Books,388.7,38,86,420.65,Spring,Saturday,4,0,Premium,2.9,939,572.83
2025-03-08 04:47:13.246666378,PROD_0089,Books,128.63,194,79,137.47,Summer,Saturday,4,0,Regular,2.3,586,151.52
2025-03-08 05:30:27.841260973,PROD_0062,Clothing,974.42,135,66,933.24,Summer,Saturday,5,0,Premium,1.4,156,1207.97
2025-03-08 06:13:42.435855567,PROD_0097,Sports,29.83,119,29,23.88,Fall,Saturday,6,0,Regular,2.0,734,30.76
2025-03-08 06:56:57.030450162,PROD_0001,Electronics,739.81,125,56,627.4,Spring,Saturday,6,0,Premium,4.8,701,908.99
2025-03-08 07:40:11.625044756,PROD_0027,Electronics,770.91,54,85,781.57,Winter,Saturday,7,0,Budget,2.2,984,881.36
2025-03-08 08:23:26.219639351,PROD_0062,Home,251.22,26,72,268.82,Winter,Saturday,8,0,Budget,1.7,563,285.93
2025-03-08 09:06:40.814233946,PROD_0077,Books,674.84,117,28,652.56,Summer,Saturday,9,0,Premium,2.8,949,800.11
2025-03-08 09:49:55.408828540,PROD_0003,Electronics,102.0,52,36,111.41,Fall,Saturday,9,0,Regular,2.2,87,121.24
2025-03-08 10:33:10.003423135,PROD_0070,Books,264.48,38,86,266.79,Spring,Saturday,10,1,Budget,1.1,312,366.03
2025-03-08 11:16:24.598017729,PROD_0072,Electronics,790.02,64,12,655.46,Spring,Saturday,11,0,Regular,2.3,850,815.99
2025-03-08 11:59:39.192612324,PROD_0027,Clothing,866.04,144,31,759.35,Summer,Saturday,11,0,Premium,3.2,65,1017.87
2025-03-08 12:42:53.787206918,PROD_0009,Sports,612.4,157,45,695.69,Summer,Saturday,12,0,Premium,3.2,661,806.36
2025-03-08 13:26:08.381801513,PROD_0062,Electronics,511.77,180,22,557.81,Spring,Saturday,13,0,Budget,2.4,19,504.58
2025-03-08 14:09:22.976396108,PROD_0037,Books,167.71,12,44,194.19,Spring,Saturday,14,0,Premium,2.8,32,236.17
2025-03-08 14:52:37.570990702,PROD_0097,Clothing,72.48,20,16,61.39,Summer,Saturday,14,0,Budget,4.9,839,69.17
2025-03-08 15:35:52.165585297,PROD_0051,Electronics,126.47,146,84,151.27,Spring,Saturday,15,0,Regular,2.5,792,153.57
2025-03-08 16:19:06.760179891,PROD_0044,Home,235.08,52,65,207.76,Winter,Saturday,16,0,Budget,2.0,557,236.92
